DISTRICT,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,KIDNAPPING,DACOITY,ROBBERY,BURGLARY,THEFT,RIOTS,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES
AHMEDNAGAR,86,49,3,136,72,38,100,400,2682,277,140,4,46,710,0,596,538,1741,6173
AHMEDNAGAR,99,73,2,110,74,54,107,458,2688,397,179,7,54,772,3,619,575,1918,6753
AHMEDNAGAR,134,107,1,98,102,60,117,558,2944,553,267,19,49,727,0,666,623,1617,7070
AHMEDNAGAR,81,75,3,110,84,61,146,479,2798,497,259,15,34,690,0,663,632,1399,6530
AHMEDNAGAR,122,75,1,114,116,66,155,579,3034,570,301,9,46,718,10,720,703,1508,7215
AHMEDNAGAR,107,108,3,156,164,84,161,626,3244,679,305,8,43,779,32,842,713,1376,7648
AHMEDNAGAR,111,91,5,122,118,62,262,481,2748,572,417,2,46,802,23,724,744,1410,7246
AKOLA,47,52,0,50,56,5,39,305,1990,134,103,4,36,843,1,244,130,1231,4222
AKOLA,38,43,1,44,34,15,55,257,1796,117,79,3,28,821,3,299,125,1246,4067
AKOLA,54,72,2,52,70,11,54,249,2004,157,126,7,38,723,7,325,116,1128,4132
AKOLA,43,68,7,42,66,12,77,308,1886,159,108,6,32,765,10,291,126,1218,4227
AKOLA,46,66,3,50,50,13,83,283,2106,172,138,5,45,815,12,304,151,1233,4472
AKOLA,46,43,3,60,80,12,61,249,1642,115,140,20,36,759,13,257,156,1224,4025
AKOLA,42,34,3,38,44,5,49,191,1354,107,126,21,33,720,4,219,172,998,3442
AMRAVATI,94,46,2,130,78,12,50,462,3160,170,140,1,69,1226,7,420,201,1813,6397
AMRAVATI,81,58,2,130,88,16,71,451,2904,212,127,1,58,1219,14,398,247,1819,6335
AMRAVATI,93,57,4,138,56,16,68,466,3272,208,135,9,62,1187,7,452,272,1820,6589
AMRAVATI,91,63,4,132,104,19,65,481,3128,180,151,13,94,1244,1,458,272,2020,6838
AMRAVATI,75,67,5,120,124,23,79,480,3676,173,164,8,84,1502,5,512,277,2239,7653
AMRAVATI,73,80,4,182,98,24,100,459,3566,160,141,14,89,1287,5,445,298,2057,7159
AMRAVATI,87,94,5,168,74,21,93,444,3238,174,144,10,83,1243,4,476,287,2250,7155
AURANGABAD,73,41,1,86,66,32,102,363,1960,336,240,4,39,1052,42,491,345,1140,5357
AURANGABAD,94,46,2,64,88,34,112,441,2276,394,186,4,56,1140,50,600,436,1378,6187
AURANGABAD,95,74,2,84,98,41,121,460,2924,526,219,4,47,1237,43,505,391,1481,6799
AURANGABAD,81,83,7,72,66,41,117,477,3176,363,206,4,40,1153,33,542,432,1425,6661
AURANGABAD,87,119,5,78,112,46,152,572,3088,378,327,2,45,1074,31,621,470,1608,7176
AURANGABAD,101,166,3,68,102,44,186,564,2728,431,282,6,63,1165,43,518,464,1510,6995
AURANGABAD,120,104,9,96,82,58,223,498,2724,474,349,2,58,1293,22,627,466,1467,7221
BEED,63,46,1,48,68,30,94,379,1506,439,74,1,40,1005,12,418,257,710,4380
BEED,69,50,0,46,96,41,88,303,1290,484,67,1,82,997,18,450,259,841,4466
BEED,61,34,4,52,78,53,85,336,1234,485,100,1,52,1010,11,435,270,881,4500
BEED,80,53,1,52,72,54,93,284,1050,499,137,2,38,940,16,478,276,800,4338
BEED,86,74,6,56,88,42,71,298,1046,297,114,4,39,879,11,458,290,785,4049
BEED,61,72,8,64,116,55,88,325,992,333,210,1,45,953,11,491,322,669,4230
BEED,84,71,9,84,100,38,70,309,1042,339,192,1,44,886,8,468,312,655,4099
BHANDARA,35,18,2,80,30,2,16,183,886,94,48,6,53,363,4,172,142,947,2583
BHANDARA,30,10,3,38,14,3,18,177,1094,94,39,1,37,362,2,150,146,909,2554
BHANDARA,28,14,3,52,28,8,19,218,1234,107,119,5,29,384,0,160,146,948,2845
BHANDARA,26,8,0,34,24,4,13,189,1054,40,54,6,20,295,4,112,142,790,2259
BHANDARA,24,7,4,48,30,1,17,208,896,49,48,9,18,309,3,115,151,792,2242
BHANDARA,33,15,4,46,24,5,19,171,888,25,50,5,20,306,1,94,156,694,2077
BHANDARA,20,11,3,52,22,4,31,141,860,34,57,0,23,378,3,128,157,562,2019
BULDHANA,53,64,2,46,20,9,32,214,1408,177,114,2,68,905,13,361,177,1224,4152
BULDHANA,56,41,3,78,44,21,28,220,1266,210,53,0,57,730,12,411,180,1064,3780
BULDHANA,54,47,1,72,56,24,44,266,1702,262,103,3,68,798,9,442,217,1241,4494
BULDHANA,53,59,0,54,58,23,37,261,1654,199,83,8,56,780,27,404,223,1164,4260
BULDHANA,59,48,4,58,42,11,36,174,1284,255,103,8,70,751,34,356,290,1081,3972
BULDHANA,60,41,1,52,56,12,35,168,1220,233,147,3,45,768,14,342,265,1104,3902
BULDHANA,49,38,5,58,62,5,23,149,1042,220,119,6,46,687,27,335,245,962,3497
CHANDRAPUR,42,20,1,60,34,7,27,377,1548,122,74,2,49,664,6,251,236,1004,3703
CHANDRAPUR,59,23,4,70,50,8,34,383,1630,129,101,3,70,663,5,393,258,1140,4148
CHANDRAPUR,51,47,6,74,68,10,37,257,1840,145,85,4,64,666,14,479,256,1344,4456
CHANDRAPUR,49,33,3,88,38,7,22,266,1460,110,92,5,57,715,9,461,245,1616,4483
CHANDRAPUR,56,29,3,86,42,5,24,264,1322,104,98,3,45,639,7,380,280,1344,4006
CHANDRAPUR,50,39,6,112,60,10,43,230,1336,82,85,3,36,629,4,294,284,1279,3828
CHANDRAPUR,44,33,0,88,68,6,46,257,1446,95,112,1,33,584,4,323,229,1195,3763
DHULE,38,33,4,24,16,12,19,131,714,102,102,2,13,411,6,234,228,804,2516
DHULE,49,23,1,30,10,16,24,124,794,170,105,2,8,421,10,274,229,808,2681
DHULE,54,38,1,20,16,67,19,215,768,226,84,3,14,391,3,236,255,775,2783
DHULE,45,36,1,24,26,17,22,174,702,172,122,6,14,414,7,323,253,680,2662
DHULE,48,54,1,36,24,26,42,197,796,198,102,3,16,400,6,271,314,868,2974
DHULE,49,31,1,32,54,42,57,194,868,212,106,1,15,379,4,262,285,634,2749
DHULE,50,39,1,60,36,55,54,158,640,173,142,0,6,298,4,248,313,633,2542
GADCHIROLI,59,52,4,28,20,12,8,100,248,28,27,1,45,241,2,104,75,372,1278
GADCHIROLI,53,47,5,22,16,6,7,98,324,39,17,0,27,200,3,82,77,440,1282
GADCHIROLI,56,33,1,44,26,5,11,88,246,23,29,2,56,211,2,83,81,356,1195
GADCHIROLI,66,45,4,24,28,19,5,81,330,20,13,2,75,201,1,56,79,330,1188
GADCHIROLI,58,30,1,32,22,7,11,93,248,21,19,0,46,202,0,48,97,298,1082
GADCHIROLI,82,27,1,40,10,2,10,55,204,21,12,0,40,196,0,50,103,231,957
GADCHIROLI,57,69,2,36,18,4,3,70,292,21,13,1,29,174,0,47,102,216,981
GONDIA,31,13,2,46,44,12,25,220,796,63,44,2,41,393,5,173,122,707,2296
GONDIA,34,14,1,64,26,10,22,188,628,58,37,2,30,330,3,154,88,607,1937
GONDIA,35,14,0,76,28,3,18,177,710,61,62,2,35,350,3,167,121,568,2023
GONDIA,43,23,1,66,40,7,9,143,668,32,47,4,30,322,3,136,133,591,1911
GONDIA,29,15,4,56,36,3,20,191,646,48,51,5,22,361,3,148,128,585,1982
GONDIA,37,22,2,62,48,5,19,159,740,35,61,2,21,363,1,122,125,548,1947
GONDIA,41,28,2,76,20,6,19,143,538,40,54,2,26,342,0,107,147,498,1772
